Lat,Long,Confirmed
31.8257,117.2264,1
40.1824,116.4142,14
30.0572,107.874,6
26.0789,117.9874,1
23.3417,113.4244,26
23.8298,108.7881,2
26.8154,106.8748,1
19.1959,109.7453,4
39.549,116.1306,1
37.8957,114.9042,5
30.9756,112.2707,444
27.6104,111.7088,4
32.9711,119.455,1
27.614,115.7221,2
41.2956,122.6085,2
22.1667,113.55,1
37.2692,106.1655,1
36.3427,118.1498,2
31.201999999999998,121.4491,9
37.5777,112.2922,1
30.6171,102.7103,5
39.3054,117.323,4
24.974,101.48700000000001,1
29.1832,120.0934,10
36.204824,138.252924,2
35.90775700000001,127.766922,1
23.7,121.0,1
15.870032,100.992541,2
40.0,-100.0,1
31.8257,117.2264,9
40.1824,116.4142,22
30.0572,107.874,9
26.0789,117.9874,5
35.7518,104.2861,2
23.3417,113.4244,32
23.8298,108.7881,5
26.8154,106.8748,3
19.1959,109.7453,5
39.549,116.1306,1
47.861999999999995,127.7615,2
37.8957,114.9042,5
22.3,114.2,2
30.9756,112.2707,444
27.6104,111.7088,9
32.9711,119.455,5
27.614,115.7221,7
43.6661,126.1923,1
41.2956,122.6085,3
22.1667,113.55,2
37.2692,106.1655,1
35.1917,108.8701,3
36.3427,118.1498,6
31.201999999999998,121.4491,16
37.5777,112.2922,1
30.6171,102.7103,8
39.3054,117.323,4
41.1129,85.2401,2
24.974,101.48700000000001,2
29.1832,120.0934,27
36.204824,138.252924,2
35.90775700000001,127.766922,1
1.2833,103.8333,1
23.7,121.0,1
15.870032,100.992541,3
40.0,-100.0,1
14.058323999999999,108.277199,2
31.8257,117.2264,15
40.1824,116.4142,36
30.0572,107.874,27
26.0789,117.9874,10
35.7518,104.2861,2
23.3417,113.4244,53
23.8298,108.7881,23
26.8154,106.8748,3
19.1959,109.7453,8
39.549,116.1306,2
47.861999999999995,127.7615,4
37.8957,114.9042,9
22.3,114.2,2
30.9756,112.2707,549
27.6104,111.7088,24
44.0935,113.9448,1
32.9711,119.455,9
27.614,115.7221,18
43.6661,126.1923,3
41.2956,122.6085,4
22.1667,113.55,2
37.2692,106.1655,2
35.1917,108.8701,5
36.3427,118.1498,15
31.201999999999998,121.4491,20
37.5777,112.2922,1
30.6171,102.7103,15
39.3054,117.323,8
41.1129,85.2401,2
24.974,101.48700000000001,5
29.1832,120.0934,43
46.2276,2.2137,2
36.204824,138.252924,2
35.90775700000001,127.766922,2
1.2833,103.8333,3
23.7,121.0,3
15.870032,100.992541,5
40.0,-100.0,2
14.058323999999999,108.277199,2
31.8257,117.2264,39
40.1824,116.4142,41
30.0572,107.874,57
26.0789,117.9874,18
35.7518,104.2861,4
23.3417,113.4244,78
23.8298,108.7881,23
26.8154,106.8748,4
19.1959,109.7453,19
39.549,116.1306,8
47.861999999999995,127.7615,9
37.8957,114.9042,32
22.3,114.2,5
30.9756,112.2707,761
27.6104,111.7088,43
44.0935,113.9448,7
32.9711,119.455,18
27.614,115.7221,18
43.6661,126.1923,4
41.2956,122.6085,17
22.1667,113.55,2
37.2692,106.1655,3
35.7452,95.9956,1
35.1917,108.8701,15
36.3427,118.1498,27
31.201999999999998,121.4491,33
37.5777,112.2922,6
30.6171,102.7103,28
39.3054,117.323,10
41.1129,85.2401,3
24.974,101.48700000000001,11
29.1832,120.0934,62
46.2276,2.2137,3
36.204824,138.252924,2
35.90775700000001,127.766922,2
4.210483999999999,101.97576600000001,3
28.1667,84.25,1
1.2833,103.8333,3
23.7,121.0,3
15.870032,100.992541,7
40.0,-100.0,2
14.058323999999999,108.277199,2
-33.8688,151.2093,3
-37.8136,144.9631,1
51.2538,-85.3232,1
31.8257,117.2264,60
40.1824,116.4142,68
30.0572,107.874,75
26.0789,117.9874,35
35.7518,104.2861,7
23.3417,113.4244,111
23.8298,108.7881,36
26.8154,106.8748,5
19.1959,109.7453,22
39.549,116.1306,13
47.861999999999995,127.7615,15
37.8957,114.9042,83
22.3,114.2,8
30.9756,112.2707,1058
27.6104,111.7088,69
44.0935,113.9448,7
32.9711,119.455,33
27.614,115.7221,36
43.6661,126.1923,4
41.2956,122.6085,21
22.1667,113.55,5
37.2692,106.1655,4
35.7452,95.9956,1
35.1917,108.8701,22
36.3427,118.1498,46
31.201999999999998,121.4491,40
37.5777,112.2922,9
30.6171,102.7103,44
39.3054,117.323,14
41.1129,85.2401,4
24.974,101.48700000000001,16
29.1832,120.0934,104
46.2276,2.2137,3
36.204824,138.252924,4
35.90775700000001,127.766922,3
4.210483999999999,101.97576600000001,4
28.1667,84.25,1
1.2833,103.8333,4
23.7,121.0,4
15.870032,100.992541,8
40.0,-100.0,5
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-37.8136,144.9631,1
11.55,104.9167,1
51.2538,-85.3232,1
31.8257,117.2264,70
40.1824,116.4142,80
30.0572,107.874,110
26.0789,117.9874,59
35.7518,104.2861,14
23.3417,113.4244,151
23.8298,108.7881,46
26.8154,106.8748,7
19.1959,109.7453,33
39.549,116.1306,18
47.861999999999995,127.7615,21
37.8957,114.9042,128
22.3,114.2,8
30.9756,112.2707,1423
27.6104,111.7088,100
44.0935,113.9448,11
32.9711,119.455,47
27.614,115.7221,72
43.6661,126.1923,6
41.2956,122.6085,27
22.1667,113.55,6
37.2692,106.1655,7
35.7452,95.9956,6
35.1917,108.8701,35
36.3427,118.1498,75
31.201999999999998,121.4491,53
37.5777,112.2922,13
30.6171,102.7103,69
39.3054,117.323,23
41.1129,85.2401,5
24.974,101.48700000000001,26
29.1832,120.0934,128
46.2276,2.2137,3
51.165690999999995,10.451526,1
36.204824,138.252924,4
35.90775700000001,127.766922,4
4.210483999999999,101.97576600000001,4
28.1667,84.25,1
1.2833,103.8333,5
7.873054,80.77179699999998,1
23.7,121.0,5
15.870032,100.992541,8
40.0,-100.0,5
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-37.8136,144.9631,1
11.55,104.9167,1
53.7267,-127.6476,1
51.2538,-85.3232,1
31.8257,117.2264,106
40.1824,116.4142,91
30.0572,107.874,132
26.0789,117.9874,80
35.7518,104.2861,19
23.3417,113.4244,207
23.8298,108.7881,51
26.8154,106.8748,9
19.1959,109.7453,40
39.549,116.1306,33
47.861999999999995,127.7615,33
37.8957,114.9042,168
22.3,114.2,8
30.9756,112.2707,3554
27.6104,111.7088,143
44.0935,113.9448,15
32.9711,119.455,70
27.614,115.7221,109
43.6661,126.1923,8
41.2956,122.6085,34
22.1667,113.55,7
37.2692,106.1655,11
35.7452,95.9956,6
35.1917,108.8701,46
36.3427,118.1498,95
31.201999999999998,121.4491,66
37.5777,112.2922,27
30.6171,102.7103,90
39.3054,117.323,24
41.1129,85.2401,10
24.974,101.48700000000001,44
29.1832,120.0934,173
46.2276,2.2137,4
51.165690999999995,10.451526,4
36.204824,138.252924,7
35.90775700000001,127.766922,4
4.210483999999999,101.97576600000001,4
28.1667,84.25,1
1.2833,103.8333,7
7.873054,80.77179699999998,1
23.7,121.0,8
15.870032,100.992541,14
40.0,-100.0,5
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-27.4698,153.0251,1
-37.8136,144.9631,1
11.55,104.9167,1
53.7267,-127.6476,1
51.2538,-85.3232,1
31.8257,117.2264,152
40.1824,116.4142,111
30.0572,107.874,147
26.0789,117.9874,84
35.7518,104.2861,24
23.3417,113.4244,277
23.8298,108.7881,58
26.8154,106.8748,9
19.1959,109.7453,43
39.549,116.1306,48
47.861999999999995,127.7615,38
37.8957,114.9042,206
22.3,114.2,10
30.9756,112.2707,3554
27.6104,111.7088,221
44.0935,113.9448,16
32.9711,119.455,99
27.614,115.7221,109
43.6661,126.1923,9
41.2956,122.6085,39
22.1667,113.55,7
37.2692,106.1655,12
35.7452,95.9956,6
35.1917,108.8701,56
36.3427,118.1498,130
31.201999999999998,121.4491,96
37.5777,112.2922,27
30.6171,102.7103,108
39.3054,117.323,27
41.1129,85.2401,13
24.974,101.48700000000001,55
29.1832,120.0934,296
61.92411,25.748151,1
46.2276,2.2137,5
51.165690999999995,10.451526,4
36.204824,138.252924,7
35.90775700000001,127.766922,4
4.210483999999999,101.97576600000001,7
28.1667,84.25,1
1.2833,103.8333,7
7.873054,80.77179699999998,1
23.7,121.0,8
15.870032,100.992541,14
23.424076,53.847818000000004,4
40.0,-100.0,5
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-27.4698,153.0251,3
-37.8136,144.9631,2
11.55,104.9167,1
53.7267,-127.6476,1
51.2538,-85.3232,1
31.8257,117.2264,200
40.1824,116.4142,114
30.0572,107.874,182
26.0789,117.9874,101
35.7518,104.2861,26
23.3417,113.4244,354
23.8298,108.7881,78
26.8154,106.8748,12
19.1959,109.7453,46
39.549,116.1306,65
47.861999999999995,127.7615,44
37.8957,114.9042,278
22.3,114.2,10
30.9756,112.2707,4903
27.6104,111.7088,277
44.0935,113.9448,19
32.9711,119.455,129
27.614,115.7221,162
43.6661,126.1923,14
41.2956,122.6085,41
22.1667,113.55,7
37.2692,106.1655,17
35.7452,95.9956,8
35.1917,108.8701,63
36.3427,118.1498,158
31.201999999999998,121.4491,112
37.5777,112.2922,35
30.6171,102.7103,142
39.3054,117.323,31
31.6927,88.0924,1
41.1129,85.2401,14
24.974,101.48700000000001,70
29.1832,120.0934,428
61.92411,25.748151,1
46.2276,2.2137,5
51.165690999999995,10.451526,4
20.593684,78.96288,1
36.204824,138.252924,11
35.90775700000001,127.766922,4
4.210483999999999,101.97576600000001,8
28.1667,84.25,1
12.879721,121.77401699999999,1
1.2833,103.8333,10
7.873054,80.77179699999998,1
23.7,121.0,9
15.870032,100.992541,14
23.424076,53.847818000000004,4
40.0,-100.0,5
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-27.4698,153.0251,2
-37.8136,144.9631,3
11.55,104.9167,1
53.7267,-127.6476,1
51.2538,-85.3232,3
31.8257,117.2264,237
40.1824,116.4142,139
30.0572,107.874,211
26.0789,117.9874,120
35.7518,104.2861,29
23.3417,113.4244,436
23.8298,108.7881,87
26.8154,106.8748,29
19.1959,109.7453,52
39.549,116.1306,82
47.861999999999995,127.7615,59
37.8957,114.9042,352
22.3,114.2,12
30.9756,112.2707,5806
27.6104,111.7088,332
44.0935,113.9448,20
32.9711,119.455,168
27.614,115.7221,240
43.6661,126.1923,14
41.2956,122.6085,48
22.1667,113.55,7
37.2692,106.1655,21
35.7452,95.9956,8
35.1917,108.8701,87
36.3427,118.1498,184
31.201999999999998,121.4491,135
37.5777,112.2922,39
30.6171,102.7103,177
39.3054,117.323,32
31.6927,88.0924,1
41.1129,85.2401,17
24.974,101.48700000000001,83
29.1832,120.0934,538
61.92411,25.748151,1
46.2276,2.2137,5
51.165690999999995,10.451526,5
20.593684,78.96288,1
41.87194,12.56738,2
36.204824,138.252924,15
35.90775700000001,127.766922,11
4.210483999999999,101.97576600000001,8
28.1667,84.25,1
12.879721,121.77401699999999,1
61.52401,105.31875600000001,2
1.2833,103.8333,13
7.873054,80.77179699999998,1
60.128161,18.643501,1
23.7,121.0,10
15.870032,100.992541,19
23.424076,53.847818000000004,4
55.3781,-3.4360000000000004,2
40.0,-100.0,7
14.058323999999999,108.277199,2
-33.8688,151.2093,4
-27.4698,153.0251,3
-34.9285,138.6007,1
-37.8136,144.9631,4
11.55,104.9167,1
53.7267,-127.6476,1
51.2538,-85.3232,3
31.8257,117.2264,297
40.1824,116.4142,168
30.0572,107.874,247
26.0789,117.9874,144
35.7518,104.2861,40
23.3417,113.4244,535
23.8298,108.7881,100
26.8154,106.8748,29
19.1959,109.7453,62
39.549,116.1306,96
47.861999999999995,127.7615,80
37.8957,114.9042,422
22.3,114.2,13
30.9756,112.2707,7153
