Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Infection_Rate
Qatar,Asia,2807805,112092,,178.0,,108831,,3083,77.0,39922,63.0,511000.0,181993.0,EasternMediterranean,3.9921575750452756
French Guiana,South America,299385,8127,,47.0,,7240,,840,23.0,27146,157.0,41412.0,138324.0,,2.7145648579588157
Bahrain,Asia,1706669,42889,,156.0,,39945,,2788,41.0,25130,91.0,876700.0,513691.0,EasternMediterranean,2.5130239079751258
San Marino,Europe,33938,699,,42.0,,657,,0,,20596,1238.0,6068.0,178797.0,Europe,2.0596381637102956
Chile,South America,19132514,366671,,9889.0,,340168,,16614,1358.0,19165,517.0,1760615.0,92022.0,Americas,1.9164810228284688
Panama,North America,4321282,71418,,1574.0,,45658,,24186,161.0,16527,364.0,240995.0,55769.0,Americas,1.652703989232825
Kuwait,Asia,4276658,70045,,469.0,,61610,,7966,127.0,16378,110.0,522200.0,122105.0,EasternMediterranean,1.6378443167538763
Oman,Asia,5118446,80713,,492.0,,70910,,9311,177.0,15769,96.0,309212.0,60411.0,EasternMediterranean,1.5769043963734304
USA,North America,331198130,5032179,,162804.0,,2576668,,2292707,18296.0,15194,492.0,63139605.0,190640.0,Americas,1.5193862960518527
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe,1.4981273408239701
Peru,South America,33016319,455409,,20424.0,,310337,,124648,1426.0,13793,619.0,2493429.0,75521.0,Americas,1.3793451656436928
Brazil,South America,212710692,2917562,,98644.0,,2047660,,771258,8318.0,13716,464.0,13206188.0,62085.0,Americas,1.3716104125127853
Armenia,Asia,2963811,39819,,772.0,,31556,,7491,,13435,260.0,171600.0,57898.0,Europe,1.343506721582449
Andorra,Europe,77278,944,,52.0,,828,,64,1.0,12216,673.0,3750.0,48526.0,Europe,1.221563705064831
Luxembourg,Europe,626952,7073,,119.0,,5750,,1204,9.0,11282,190.0,623994.0,995282.0,Europe,1.1281565414896195
Mayotte,Africa,273419,3042,,39.0,,2738,,265,2.0,11126,143.0,13000.0,47546.0,,1.112578131000406
Singapore,Asia,5854932,54555,,27.0,,48031,,6497,,9318,5.0,1474372.0,251817.0,WesternPacific,0.9317785415782796
South Africa,Africa,59381566,538184,,9604.0,,387316,,141264,539.0,9063,162.0,3149807.0,53044.0,Africa,0.9063149328193871
Israel,Asia,9197590,79559,,576.0,,53427,,25556,358.0,8650,63.0,1872453.0,203581.0,Europe,0.8649983310845557
Maldives,Asia,541448,4680,,19.0,,2725,,1936,12.0,8643,35.0,85587.0,158071.0,South-EastAsia,0.8643489310146126
