Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region,Daily_Increase
2020-01-22,USA,1,0,0,1,0,0,0,Americas,
2020-01-23,USA,1,0,0,1,0,0,0,Americas,0.0
2020-01-24,USA,2,0,0,2,1,0,0,Americas,1.0
2020-01-25,USA,2,0,0,2,0,0,0,Americas,0.0
2020-01-26,USA,5,0,0,5,3,0,0,Americas,3.0
2020-01-27,USA,5,0,0,5,0,0,0,Americas,0.0
2020-01-28,USA,5,0,0,5,0,0,0,Americas,0.0
2020-01-29,USA,5,0,0,5,0,0,0,Americas,0.0
2020-01-30,USA,5,0,0,5,0,0,0,Americas,0.0
2020-01-31,USA,7,0,0,7,2,0,0,Americas,2.0
2020-02-01,USA,8,0,0,8,1,0,0,Americas,1.0
2020-02-02,USA,8,0,0,8,0,0,0,Americas,0.0
2020-02-03,USA,11,0,0,11,3,0,0,Americas,3.0
2020-02-04,USA,11,0,0,11,0,0,0,Americas,0.0
2020-02-05,USA,11,0,0,11,0,0,0,Americas,0.0
2020-02-06,USA,11,0,0,11,0,0,0,Americas,0.0
2020-02-07,USA,11,0,0,11,0,0,0,Americas,0.0
2020-02-08,USA,11,0,0,11,0,0,0,Americas,0.0
2020-02-09,USA,11,0,3,8,0,0,3,Americas,0.0
2020-02-10,USA,11,0,3,8,0,0,0,Americas,0.0
2020-02-11,USA,12,0,3,9,1,0,0,Americas,1.0
2020-02-12,USA,12,0,3,9,0,0,0,Americas,0.0
2020-02-13,USA,13,0,3,10,1,0,0,Americas,1.0
2020-02-14,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-15,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-16,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-17,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-18,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-19,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-20,USA,13,0,3,10,0,0,0,Americas,0.0
2020-02-21,USA,15,0,5,10,2,0,2,Americas,2.0
2020-02-22,USA,15,0,5,10,0,0,0,Americas,0.0
2020-02-23,USA,15,0,5,10,0,0,0,Americas,0.0
2020-02-24,USA,15,0,5,10,0,0,0,Americas,0.0
2020-02-25,USA,15,0,6,9,0,0,1,Americas,0.0
2020-02-26,USA,15,0,6,9,0,0,0,Americas,0.0
2020-02-27,USA,16,0,6,10,1,0,0,Americas,1.0
2020-02-28,USA,16,0,7,9,0,0,1,Americas,0.0
2020-02-29,USA,24,1,7,16,8,1,0,Americas,8.0
2020-03-01,USA,30,1,7,22,6,0,0,Americas,6.0
2020-03-02,USA,53,6,7,40,23,5,0,Americas,23.0
2020-03-03,USA,73,7,7,59,20,1,0,Americas,20.0
2020-03-04,USA,104,11,7,86,31,4,0,Americas,31.0
2020-03-05,USA,174,12,7,155,70,1,0,Americas,70.0
2020-03-06,USA,222,14,7,201,48,2,0,Americas,48.0
2020-03-07,USA,337,17,7,313,115,3,0,Americas,115.0
2020-03-08,USA,451,21,7,423,114,4,0,Americas,114.0
2020-03-09,USA,519,22,7,490,68,1,0,Americas,68.0
2020-03-10,USA,711,28,8,675,192,6,1,Americas,192.0
2020-03-11,USA,1109,33,8,1068,398,5,0,Americas,398.0
2020-03-12,USA,1561,43,12,1506,452,10,4,Americas,452.0
2020-03-13,USA,2157,52,12,2093,596,9,0,Americas,596.0
2020-03-14,USA,2870,58,12,2800,713,6,0,Americas,713.0
2020-03-15,USA,2968,70,12,2886,98,12,0,Americas,98.0
2020-03-16,USA,4360,97,17,4246,1392,27,5,Americas,1392.0
2020-03-17,USA,6141,131,17,5993,1781,34,0,Americas,1781.0
2020-03-18,USA,8917,188,105,8624,2776,57,88,Americas,2776.0
2020-03-19,USA,14157,265,121,13771,5240,77,16,Americas,5240.0
2020-03-20,USA,19479,362,147,18970,5322,97,26,Americas,5322.0
2020-03-21,USA,25825,456,176,25193,6346,94,29,Americas,6346.0
2020-03-22,USA,33761,601,178,32982,7936,145,2,Americas,7936.0
2020-03-23,USA,43850,784,178,42888,10089,183,0,Americas,10089.0
2020-03-24,USA,54112,1021,348,52743,10262,237,170,Americas,10262.0
2020-03-25,USA,66055,1333,361,64361,11943,312,13,Americas,11943.0
2020-03-26,USA,84091,1746,681,81664,18036,413,320,Americas,18036.0
2020-03-27,USA,102276,2300,869,99107,18185,554,188,Americas,18185.0
2020-03-28,USA,122069,2934,1072,118063,19793,634,203,Americas,19793.0
2020-03-29,USA,141205,3561,2665,134979,19136,627,1593,Americas,19136.0
2020-03-30,USA,162707,4381,5644,152682,21502,820,2979,Americas,21502.0
2020-03-31,USA,188724,5605,7024,176095,26017,1224,1380,Americas,26017.0
2020-04-01,USA,214205,6846,8474,198885,25481,1241,1450,Americas,25481.0
2020-04-02,USA,244610,8432,9001,227177,30405,1586,527,Americas,30405.0
2020-04-03,USA,276547,9747,9707,257093,31937,1315,706,Americas,31937.0
2020-04-04,USA,309699,11031,14652,284016,33152,1284,4945,Americas,33152.0
2020-04-05,USA,337573,12470,17448,307655,27874,1439,2796,Americas,27874.0
2020-04-06,USA,367215,14138,19581,333496,29642,1668,2133,Americas,29642.0
2020-04-07,USA,397992,16447,21763,359782,30777,2309,2182,Americas,30777.0
2020-04-08,USA,429686,18563,23559,387564,31694,2116,1796,Americas,31694.0
2020-04-09,USA,464442,20638,25410,418394,34756,2075,1851,Americas,34756.0
2020-04-10,USA,497943,22731,28790,446422,33501,2093,3380,Americas,33501.0
2020-04-11,USA,527969,24777,31270,471922,30026,2046,2480,Americas,30026.0
2020-04-12,USA,556522,26548,32988,496986,28553,1771,1718,Americas,28553.0
2020-04-13,USA,581813,28376,43482,509955,25291,1828,10494,Americas,25291.0
2020-04-14,USA,608878,30780,47763,530335,27065,2404,4281,Americas,27065.0
2020-04-15,USA,637974,33329,52096,552549,29096,2549,4333,Americas,29096.0
2020-04-16,USA,669272,35442,54703,579127,31298,2113,2607,Americas,31298.0
2020-04-17,USA,701996,38056,58545,605395,32724,2614,3842,Americas,32724.0
2020-04-18,USA,730337,40442,64840,625055,28341,2386,6295,Americas,28341.0
2020-04-19,USA,756375,41671,70337,644367,26038,1229,5497,Americas,26038.0
2020-04-20,USA,783716,43466,72329,667921,27341,1795,1992,Americas,27341.0
2020-04-21,USA,809318,45923,75204,688191,25602,2457,2875,Americas,25602.0
2020-04-22,USA,837422,48312,77366,711744,28104,2389,2162,Americas,28104.0
2020-04-23,USA,871617,50749,80203,740665,34195,2437,2837,Americas,34195.0
2020-04-24,USA,907908,52867,99079,755962,36291,2118,18876,Americas,36291.0
2020-04-25,USA,940829,54517,100372,785940,32921,1650,1293,Americas,32921.0
2020-04-26,USA,968518,55810,106988,805720,27689,1293,6616,Americas,27689.0
